ID,y_true,prob,pred,error,abs_error
18899,1,0.019530647,0,1,0.980469353
6933,1,0.041887,0,1,0.958113
11666,1,0.047307257,0,1,0.952692743
8959,1,0.054257426,0,1,0.9457425740000001
5906,1,0.05657613,0,1,0.9434238699999999
2561,1,0.06074927,0,1,0.93925073
10803,1,0.063371025,0,1,0.936628975
1909,0,0.9354223,1,1,0.9354223
16209,1,0.065535046,0,1,0.934464954
22728,1,0.06657,0,1,0.93343
26580,0,0.9319268,1,1,0.9319268
26441,0,0.9316279,1,1,0.9316279
19550,1,0.07060637,0,1,0.92939363
2348,1,0.073120244,0,1,0.9268797559999999
7093,1,0.0744839,0,1,0.9255161
24974,0,0.92491585,1,1,0.92491585
3792,1,0.075283945,0,1,0.924716055
27215,0,0.9244675,1,1,0.9244675
16957,0,0.923926,1,1,0.923926
2128,0,0.92320967,1,1,0.92320967
11706,0,0.9227127,1,1,0.9227127
28994,1,0.07959975,0,1,0.92040025
12668,1,0.080621794,0,1,0.919378206
10197,0,0.9193185,1,1,0.9193185
5836,1,0.08116654,0,1,0.91883346
13422,0,0.9180336,1,1,0.9180336
5078,1,0.08197301,0,1,0.91802699
12238,0,0.91795933,1,1,0.91795933
15401,0,0.9168519,1,1,0.9168519
90,0,0.916519,1,1,0.916519
9034,0,0.91590106,1,1,0.91590106
13811,0,0.9156611,1,1,0.9156611
8338,0,0.9151657,1,1,0.9151657
15185,0,0.9150095,1,1,0.9150095
2865,0,0.914594,1,1,0.914594
8111,0,0.914176,1,1,0.914176
19247,0,0.91354394,1,1,0.91354394
3390,0,0.9130066,1,1,0.9130066
14506,0,0.91261625,1,1,0.91261625
14718,0,0.91243935,1,1,0.91243935
392,1,0.0877447,0,1,0.9122553
15872,0,0.91221887,1,1,0.91221887
989,0,0.91221243,1,1,0.91221243
3305,1,0.08823937,0,1,0.91176063
22626,0,0.9109105,1,1,0.9109105
18721,0,0.91017985,1,1,0.91017985
26340,1,0.09022042,0,1,0.90977958
3594,0,0.9096538,1,1,0.9096538
25772,1,0.09037279,0,1,0.90962721
8401,0,0.90943444,1,1,0.90943444
28764,1,0.09072886,0,1,0.90927114
12391,0,0.9088777,1,1,0.9088777
4040,0,0.9087798,1,1,0.9087798
